lat, long
55.375275, 14.655793
55.375183, 14.655632
55.371792, 14.649620
55.371517, 14.649128
55.353535, 14.617178
55.353256, 14.616682
55.352657, 14.615607
55.352379, 14.615112
55.335960, 14.585902
55.335678, 14.585405
55.319794, 14.557095
55.319515, 14.556598
55.319191, 14.556018
55.318687, 14.555100
55.316746, 14.551617
55.316422, 14.551038
55.313957, 14.546675
55.313633, 14.546097
55.312012, 14.543198
55.311687, 14.542623
55.311455, 14.542215
55.310848, 14.541147
55.308384, 14.536773
55.308105, 14.536280
55.303925, 14.528845
55.303650, 14.528348
55.302540, 14.526365
55.302258, 14.525873
55.285843, 14.496825
55.285564, 14.496332
55.268867, 14.467875
55.268585, 14.467397
55.251926, 14.439112
55.251648, 14.438630
55.234993, 14.410177
55.234711, 14.409690
55.226257, 14.394985
55.225979, 14.394485
55.223469, 14.390008
55.223190, 14.389505
55.218193, 14.380478
55.217915, 14.379980
55.207005, 14.360605
55.206726, 14.360113
55.204227, 14.355713
55.203949, 14.355228
55.202564, 14.352805
55.202290, 14.352323
55.201378, 14.350715
55.201199, 14.350392
55.196224, 14.334057
55.196198, 14.333828
55.196087, 14.332920
55.196014, 14.332233
55.195316, 14.326060
55.195244, 14.325373
55.194466, 14.318510
55.194386, 14.317825
55.193768, 14.312337
55.193691, 14.311650
55.193691, 14.311650
55.193619, 14.310963
55.193390, 14.308903
55.193310, 14.308218
55.192924, 14.304788
55.192844, 14.304102
55.192612, 14.302043
55.192535, 14.301357
55.192310, 14.299297
55.192230, 14.298612
55.192135, 14.297813
55.192070, 14.297242
55.191540, 14.292435
55.191463, 14.291747
55.191380, 14.290945
55.191315, 14.290373
55.191090, 14.288312
55.191013, 14.287625
55.190792, 14.285565
55.190720, 14.284878
55.190632, 14.284077
55.190571, 14.283503
55.190342, 14.281445
55.190266, 14.280758
55.190048, 14.278695
55.189976, 14.278008
55.189892, 14.277205
55.189831, 14.276632
55.189602, 14.274572
55.189529, 14.273887
55.189228, 14.271143
55.189140, 14.270342
55.189140, 14.270342
55.189079, 14.269770
55.188854, 14.267715
