j,# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
0,01/09/2022 00:00:00,Class A,230352000,57.068065000000004,8.271148,Under way using engine,5.5,14.2,32.5,32.0,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
822,01/09/2022 00:00:10,Class A,230352000,57.068397,8.27154,Under way using engine,5.4,14.2,32.8,32.0,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
1520,01/09/2022 00:00:20,Class A,230352000,57.068728,8.271930000000001,Under way using engine,5.45,14.2,33.0,32.0,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
2231,01/09/2022 00:00:30,Class A,230352000,57.06906,8.27232,Under way using engine,5.2,14.2,31.9,32.0,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
2983,01/09/2022 00:00:39,Class A,230352000,57.06939200000001,8.272712,Under way using engine,5.1,14.2,32.5,32.0,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
3685,01/09/2022 00:00:48,Class A,230352000,57.069728000000005,8.273102,Under way using engine,5.0,14.2,32.6,32.0,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
4511,01/09/2022 00:00:55,Class A,230352000,57.070063,8.273488,Under way using engine,4.9,14.2,32.3,32.0,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
5161,01/09/2022 00:01:02,Class A,230352000,57.070395,8.273872,Under way using engine,4.8,14.2,32.1,32.0,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
